activity_name,pipeline_name,factory_name,factory_type,subscription_id,subscription_name,source_connector,sink_connector,source_linked_service,sink_linked_service,source_dataset,sink_dataset,ir_type_used
Copy data1,pipeline2,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,Databricks Delta Lake,,,AzureSqlTable1,AzureDatabricksDeltaLakeDataset1,Azure
Copy_jnq,CopyPipeline_jnq,rkh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SourceDataset_jnq,DestinationDataset_jnq,Azure
snowflaketoblob,pipeline1,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Snowflake,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SnowflakeTable1,Parquet1,Azure
Copy data1,sureshm_test1,fieldeng-migrations,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,Parquet1,Avro1,Azure
Copy data1,pipeline1,weather-pipeline-mglbe,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,Parquet1,Parquet2,Azure
Copy from SFTP to ADLS,sftp-to-adls-pipeline,jl-adf-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,dsInput,dsSink,Azure
wtf,pipe_zipper,cdg-rsm-tester,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,zipped,unzip,Azure
IncrementalCopyActivity,IncrementalCopyPipeline,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SQL Server (on-premises),"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SourceDataset,SinkDataset,Azure
FullCopyActivity,FullCopyPipeline,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SQL Server (on-premises),"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SourceDataset,SinkDataset,Azure
copy-facts,pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,facts_json,facts_json_sink,Azure
