pipeline_name,factory_name,factory_type,subscription_id,activity_name,activity_type,detected_technique,confidence,evidence,source_connector,sink_connector,has_watermark_lookup,has_downstream_sproc,has_downstream_spark,copy_upsert_enabled,cdc_references_found,watermark_references_found,subscription_name
pipeline2,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy data1,Copy,Full Load,High,default,AzureSqlDatabase,AzureDatabricksDeltaLakeDataset,False,False,False,False,False,False,field-eng
CopyPipeline_jnq,rkh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy_jnq,Copy,Full Load,High,default,AzureBlobFS (Binary),AzureBlobFS (Binary),False,False,False,False,False,False,field-eng
pipeline1,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,snowflaketoblob,Copy,Full Load,High,default,Snowflake,AzureBlobStorage (Parquet),False,False,False,False,False,False,field-eng
sureshm_test1,fieldeng-migrations,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy data1,Copy,Full Load,High,default,AzureBlobStorage (Parquet),AzureBlobStorage (Avro),False,False,False,False,False,False,field-eng
pipeline1,weather-pipeline-mglbe,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy data1,Copy,Full Load,High,default,AzureBlobStorage (Parquet),AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
sftp-to-adls-pipeline,jl-adf-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy from SFTP to ADLS,Copy,Full Load,High,default,AzureBlobStorage (DelimitedText),AzureBlobFS (DelimitedText),False,False,False,False,False,False,field-eng
pipe_zipper,cdg-rsm-tester,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,wtf,Copy,Full Load,High,default,AzureBlobFS (Binary),AzureBlobFS (Binary),False,False,False,False,False,False,field-eng
IncrementalCopyPipeline,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,IncrementalCopyActivity,Copy,Full Load,High,default,SqlServer,AzureBlobFS (DelimitedText),False,False,False,False,False,False,field-eng
FullCopyPipeline,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,FullCopyActivity,Copy,Full Load,High,default,SqlServer,AzureBlobFS (DelimitedText),False,False,False,False,False,False,field-eng
pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy-facts,Copy,Full Load,High,default,AzureBlobFS (Json),AzureBlobFS (Json),False,False,False,False,False,False,field-eng
pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy-divisions,Copy,Full Load,High,default,AzureBlobFS (DelimitedText),AzureBlobFS (DelimitedText),False,False,False,False,False,False,field-eng
pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy-inspections,Copy,Full Load,High,default,AzureBlobFS (DelimitedText),AzureBlobFS (DelimitedText),False,False,False,False,False,False,field-eng
pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy-pipelines,Copy,Full Load,High,default,AzureBlobFS (DelimitedText),AzureBlobFS (DelimitedText),False,False,False,False,False,False,field-eng
pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy-segments,Copy,Full Load,High,default,AzureBlobFS (DelimitedText),AzureBlobFS (DelimitedText),False,False,False,False,False,False,field-eng
pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy-sensors,Copy,Full Load,High,default,AzureBlobFS (DelimitedText),AzureBlobFS (DelimitedText),False,False,False,False,False,False,field-eng
csvToSql,ADF-kmati,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,blob to sql,Copy,Full Load,High,default,AzureBlobStorage (DelimitedText),AzureSqlDatabase,False,False,False,False,False,False,field-eng
CopyPipeline_x9k,mm-test-df,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy_x9k,Copy,Full Load,High,default,AzureDatabricksDeltaLakeDataset,AzureBlobFS (DelimitedText),False,False,False,False,False,False,field-eng
pipeline1,ADF-kmati,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy blob to blob,Copy,Full Load,High,default,AzureBlobStorage (DelimitedText),AzureBlobStorage (DelimitedText),False,False,False,False,False,False,field-eng
