factory_name,datasetName,linkedService,schema,table,type,subscription_name
abdi-test-adf,AzureDatabricksDeltaLakeDataset1,AzureDatabricksDeltaLake2,,split_events,AzureDatabricksDeltaLakeDataset,field-eng
fieldeng-migrations,Parquet1,AzureBlobStorage_fieldengmigrationsdl,,,Parquet,field-eng
fieldeng-migrations,Avro1,AzureBlobStorage_fieldengmigrationsdl,,,Avro,field-eng
Jyo-1204-ADF-snowflake,DelimitedText1,AzureBlobStorage1,,,DelimitedText,field-eng
Jyo-1204-ADF-snowflake,SnowflakeTable1,Snowflake1,TPCDS_SF10TCL,DATE_DIM,SnowflakeTable,field-eng
Jyo-1204-ADF-snowflake,Parquet1,AzureBlobStorage1,,,Parquet,field-eng
Jyo-1204-ADF-snowflake,SnowflakeTable2,Snowflake_jyo_db,PUBLIC,CUSTOMER,SnowflakeTable,field-eng
Jyo-1204-ADF-snowflake,Delimited_jyo_db,AzureBlobStorage1,,,DelimitedText,field-eng
Jyo-1204-ADF-snowflake,Snowflake_dynamic_jyo_db,Snowflake_jyo_db,,,SnowflakeTable,field-eng
Jyo-1204-ADF-snowflake,DelimitedText_dynamice,AzureBlobStorage1,,,DelimitedText,field-eng
Jyo-1204-ADF-snowflake,Snowflake_dynamic_jyo_db_param,Snowflake_dynamic_db,"{'value': '@dataset().SchemaName', 'type': 'Expression'}","{'value': '@dataset().TableName', 'type': 'Expression'}",SnowflakeTable,field-eng
Jyo-1204-ADF-snowflake,DelimitedText_foreach_copy,AzureBlobStorage1,,,DelimitedText,field-eng
Jyo-1204-ADF-snowflake,Parquet_dynamic,AzureBlobStorage1,,,Parquet,field-eng
Jyo-1204-ADF-snowflake,SnowflakeTable2_copy1,Snowflake_jyo_db,PUBLIC,CUSTOMER,SnowflakeTable,field-eng
weather-pipeline-mglbe,Parquet1,AzureBlobStorage1,,,Parquet,field-eng
weather-pipeline-mglbe,Parquet2,AzureDataLakeStorage1,,,Parquet,field-eng
jl-adf-test,BLOB_source,ls_blobstorage,,,Binary,field-eng
jl-adf-test,ADLS_Sink,ls_oneenvadls,,,Binary,field-eng
jl-adf-test,dsSink,ls_oneenvadls,,,DelimitedText,field-eng
jl-adf-test,dsInput,ls_blobstorage,,,DelimitedText,field-eng
cdg-rsm-tester,zipped,AzureDataLakeStorage1,,,Binary,field-eng
cdg-rsm-tester,unzip,AzureDataLakeStorage1,,,Binary,field-eng
ghanse-adf,AzureDatabricksDeltaLakeDataset1,AzureDatabricksDeltaLake1,,,AzureDatabricksDeltaLakeDataset,field-eng
ghanse-adf,facts_json,AzureDataLakeStorage1,,,Json,field-eng
ghanse-adf,facts_json_sink,AzureDataLakeStorage1,,,Json,field-eng
ghanse-adf,DelimitedText1,AzureDataLakeStorage1,,,DelimitedText,field-eng
ghanse-adf,DelimitedText2,AzureDataLakeStorage1,,,DelimitedText,field-eng
stuart-adf,SinkDataset,ADFADLS,,,DelimitedText,field-eng
stuart-adf,SourceDataset,stuartADFSQL,dbo,data_source_table,SqlServerTable,field-eng
stuart-adf,ChangeTrackingDataset,stuartADFSQL,dbo,table_store_ChangeTracking_version,SqlServerTable,field-eng
stuart-adf,SourceDataset_20v,stuartadlsg2,,,DelimitedText,field-eng
stuart-adf,DestinationDataset_20v,stuartadlsg2,,,Parquet,field-eng
stuart-adf,insiderThreatSourceData_email,stuartadlsg2,,,DelimitedText,field-eng
stuart-adf,insiderThreatSourceData_devices,stuartadlsg2,,,DelimitedText,field-eng
stuart-adf,insiderThreatSourceData_logon,stuartadlsg2,,,DelimitedText,field-eng
stuart-adf,insiderThreatSourceData_http,stuartadlsg2,,,DelimitedText,field-eng
stuart-adf,insiderThreatSourceData_file,stuartadlsg2,,,DelimitedText,field-eng
stuart-adf,insiderThreatParquetData_device,stuartadlsg2,,,Parquet,field-eng
stuart-adf,insiderThreatParquetData_email,stuartadlsg2,,,Parquet,field-eng
stuart-adf,insiderThreatParquetData_logon,stuartadlsg2,,,Parquet,field-eng
stuart-adf,insiderThreatParquetData_http,stuartadlsg2,,,Parquet,field-eng
stuart-adf,insiderThreatParquetData_file,stuartadlsg2,,,Parquet,field-eng
stuart-adf,dataflowtestoutput,stuartadlsg2,,,Parquet,field-eng
ganeshrj-df-demo,InputSchoolData,ADLS_LinkedService,,,DelimitedText,field-eng
ganeshrj-df-demo,Delays,ADLS_LinkedService,,,DelimitedText,field-eng
ganeshrj-df-demo,CancellationDAta,ADLS_LinkedService,,,DelimitedText,field-eng
ganeshrj-df-demo,Carriers,ADLS_LinkedService,,,DelimitedText,field-eng
ganeshrj-df-demo,Airline_data,ADLS_LinkedService,,,DelimitedText,field-eng
ganeshrj-df-demo,AirportData,ADLS_LinkedService,,,DelimitedText,field-eng
peteh-adf,AzureSqlTable1,AzureSqlDatabase1,dbo,TBLS,AzureSqlTable,field-eng
peteh-adf,AzureDatabricksDeltaLakeDataset1,peteh_hdi_ws_hive,,adf_test,AzureDatabricksDeltaLakeDataset,field-eng
peteh-adf,NR_test,petehhdiuctest,,test,AzureDatabricksDeltaLakeDataset,field-eng
mido-adf,AzureDatabricksDeltaLakeDataset1,AzureDatabricksDeltaLake1,,product,AzureDatabricksDeltaLakeDataset,field-eng
rkh-adf,DestinationDataset_jnq,AzureDataLakeStorage1,,,Binary,field-eng
rkh-adf,SourceDataset_jnq,AzureDataLakeStorage2,,,Binary,field-eng
scott-black-data-factory,AzureSqlTable1,AzureSqlDatabase1,,[SalesLT].[Customer],AzureSqlTable,field-eng
scott-black-data-factory,AzureDataLakeStorageFile1,AzureDataLakeStorage1,,,AzureBlobFSFile,field-eng
scott-black-data-factory,CustomerAddresses,AzureSqlDatabase1,,[SalesLT].[CustomerAddress],AzureSqlTable,field-eng
scott-black-data-factory,DataRawCustomerAddresses,AzureDataLakeStorage1,,,AzureBlobFSFile,field-eng
scott-black-data-factory,SourceDataset_v4c,AzureSqlDatabase1,,"{'type': 'Expression', 'value': '@dataset().cw_tableName'}",AzureSqlTable,field-eng
scott-black-data-factory,DestinationDataset_v4c,AzureDataLakeStorage1,,,AzureBlobFSFile,field-eng
mweu-adf-d-kanchwala-001,Parquet1,KanchwalaADLSG2,,,Parquet,field-eng
laf-adf,AzureSqlTable1,AzureSqlDatabase2,dbo,ADFTest,AzureSqlTable,field-eng
laf-adf,ADLSLandingZone,linkedService1,,,Parquet,field-eng
laf-adf,AdventureWorksOLTPTable,AzureSqlDatabase3,SalesLT,"{'value': '@dataset().Table', 'type': 'Expression'}",AzureSqlTable,field-eng
laf-adf,ADLSLandingZoneJson,linkedService1,,,Json,field-eng
laf-adf,MetadataDrivenCopyTask_nam_ControlDS,AzureSqlDatabase4,dbo,ControlTable,AzureSqlTable,field-eng
laf-adf,MetadataDrivenCopyTask_nam_SourceDS,AzureSqlDatabase3,"{'type': 'Expression', 'value': '@dataset().cw_schema'}","{'type': 'Expression', 'value': '@dataset().cw_table'}",AzureSqlTable,field-eng
laf-adf,MetadataDrivenCopyTask_nam_DestinationDS,linkedService1,,,Parquet,field-eng
laf-adf,ds_sql_fleetmaintenance,SQLMaintenanceDemo,dbo,maintenance_header,AzureSqlTable,field-eng
laf-adf,ds_adls_parquet_maintenanceheader,ADLSLandingZone,,,Parquet,field-eng
laf-adf,ds_adls_parquet,ADLSLandingZone,,,Parquet,field-eng
laf-adf,AzureDatabricksDeltaLakeDataset,AzureDatabricksDeltaLake2,,"{'value': '@dataset().Table', 'type': 'Expression'}",AzureDatabricksDeltaLakeDataset,field-eng
laf-adf,PowerOutput,SQLMaintenanceDemo,dbo,power_output,AzureSqlTable,field-eng
laf-adf,OdbcTable1,DBSQL_ODBC,,`default`.`test`,OdbcTable,field-eng
laf-adf,Parquet1,ADLSLandingZone,,,Parquet,field-eng
laf-adf,ds_sql_fleetmaintenance2,SQLMaintenanceDemo,dbo,maintenanceheader_reverse,AzureSqlTable,field-eng
laf-adf,ds_sql_fleetmaintenance3,SQLMaintenanceDemo,dbo,kkbox_members,AzureSqlTable,field-eng
laf-adf,AzureDatabricksDeltaLakeDataset2,AzureDatabricksDeltaLake3,,"{'value': '@dataset().Table', 'type': 'Expression'}",AzureDatabricksDeltaLakeDataset,field-eng
laf-adf,RestResource1,DeltaSharingRest,,,RestResource,field-eng
laf-adf,Json1,linkedService1,,,Json,field-eng
laf-adf,DS_SQL_Generic,SqlServerGeneric,"{'value': '@dataset().SchemaName', 'type': 'Expression'}","{'value': '@dataset().TableName', 'type': 'Expression'}",SqlServerTable,field-eng
laf-adf,DS_ODBCGEN,DBSQL_ODBC,,"{'value': ""@concat(dataset().SchemaName,'.',dataset().TableName)"", 'type': 'Expression'}",OdbcTable,field-eng
laf-adf,DS_SQL_Config,SqlServerConfig,dbo,ControlTableIntegrated,SqlServerTable,field-eng
laf-adf,LS_ADLS_Binary,ADLSLandingZone,,,Binary,field-eng
laf-adf,DS_FileParam,FileServer1,,,Binary,field-eng
laf-adf,DS_Folder,FileServer1,,,Binary,field-eng
laf-adf,DS_ADLSGEN2,ADLSLandingZone,,,Parquet,field-eng
laf-adf,Binary2,ADLSLandingZone,,,Binary,field-eng
laf-adf,Binary1,ADLSLandingZone,,,Binary,field-eng
laf-adf,AzureSqlDatabaseDataSource,linkedService_SourceSystem,dbo,,AzureSqlTable,field-eng
laf-adf,Excel1,ADLSLandingZone,,,Excel,field-eng
laf-adf,AzureSqlDatabaseExternal_ControlTable,linkedService_adf,dbo,"{'value': '@dataset().TableName', 'type': 'Expression'}",AzureSqlTable,field-eng
laf-adf,DataDestination,linkedService_adls,,,DelimitedText,field-eng
ADF-kmati,DelimitedText2,AzureBlobStorage2,,,DelimitedText,field-eng
ADF-kmati,DelimitedText1,AzureBlobStorage1,,,DelimitedText,field-eng
ADF-kmati,DelimitedText3,AzureBlobStorage3,,,DelimitedText,field-eng
ADF-kmati,AzureSqlTable1,AzureSqlDatabase1,dbo,employees,AzureSqlTable,field-eng
ADF-kmati,AzureSqlTable2,AzureSqlDatabase2,dbo,employees,AzureSqlTable,field-eng
bnelsondatafactory,Parquet1,ruggerstore,,,Parquet,field-eng
bnelsondatafactory,DelimitedText1,ruggerstore,,,DelimitedText,field-eng
bnelsondatafactory,TomiBinary,tschuamcAzureDataLakeStorage,,,Binary,field-eng
bnelsondatafactory,AzureDatabricksDeltaLakeDataset1,AzureDatabricksDeltaLake1,,loan_stats,AzureDatabricksDeltaLakeDataset,field-eng
adf-csc168,AzureDatabricksDeltaLakeDataset1,AzureDatabricksDeltaLake1,,,AzureDatabricksDeltaLakeDataset,field-eng
adf-csc168,DelimitedText1,AzureDataLakeStorage_KS02_Experiment,,,DelimitedText,field-eng
adf-kuldeep-demo01,JsonFromADLS,AzureDataLakeStorage1,,,Json,field-eng
adf-otis-cosmosdb,DestinationDataset_kwj,AzureDataLakeStorageOTIS,,,Parquet,field-eng
adf-otis-cosmosdb,SourceDataset_kwj,CosmosDbNoSqlOTIS,,,CosmosDbSqlApiCollection,field-eng
adf-otis-cosmosdb,SourceDataset_fmo,AzureBlobStorageCosmos,,,Json,field-eng
adf-otis-cosmosdb,DestinationDataset_fmo,CosmosDbNoSqlOTIS,,,CosmosDbSqlApiCollection,field-eng
dthomfactorytest,Parquet1,AzureDataLakeStorage1,,,Parquet,field-eng
dthomfactorytest,DelimitedText1,AzureDataLakeStorage1,,,DelimitedText,field-eng
dthomfactorytest,RestResource1,RestService1,,,RestResource,field-eng
CSEdemoDataFactory,NewDataBlob,AzureBlobStorage_LinkedServiceCSEdemoDataFactory,,,DelimitedText,field-eng
CSEdemoDataFactory,OnPremDB,AzureBlobStorage_LinkedServiceCSEdemoDataFactory,,,DelimitedText,field-eng
rrcadfvivo,DestinationDataset_efm,RRCSQLServer,dbo,vivotable,AzureSqlTable,field-eng
rrcadfvivo,SourceDataset_efm,RRCBlobVivo,,,DelimitedText,field-eng
bilal-salesforce-factory,DestinationDataset_2da,AzureBlobStorage,,,DelimitedText,azure-test-pm
bilal-salesforce-factory,SourceDataset_2da,FieldSalesforceDemo,,,SalesforceObject,azure-test-pm
mm-test-df,SourceDataset_x9k,AzureDatabricksDeltaLake1,,,AzureDatabricksDeltaLakeDataset,field-eng
mm-test-df,DestinationDataset_x9k,AzureDataLakeStorage1,,,DelimitedText,field-eng
oneenv-adf,ds_sql_fleetmaintenance,SQLMaintenanceDemo,dbo,maintenanceheader,AzureSqlTable,field-eng
oneenv-adf,azuresqloutput,write_to_volume,,,Parquet,field-eng
oneenv-adf,NedParquet,NedDataLakeStorage,,,Parquet,field-eng
oneenv-adf,AzureSQL_MaintenanceDemo_ADFTest,SQLMaintenanceDemo,dbo,ADFTest,AzureSqlTable,field-eng
oneenv-adf,dbrookes_csv_sink,dbrookes_adls,,,DelimitedText,field-eng
oneenv-adf,dbrookes_csv_source,dbrookes_adls,,,DelimitedText,field-eng
oneenv-adf,Parquet2,AzureDataLakeStorage1,,,Parquet,field-eng
oneenv-adf,Parquet1,oneenvstorageblob,,,Parquet,field-eng
oneenv-adf,SourceDataset_fd9,AzureDatabricksDeltaLake1,,,AzureDatabricksDeltaLakeDataset,field-eng
oneenv-adf,DestinationDataset_fd9,oneenvsqldb,dbo,win_totals,AzureSqlTable,field-eng
oneenv-adf,titanicblob,oneenvstorageblob,,,DelimitedText,field-eng
oneenv-adf,titanic,titanic,,,DelimitedText,field-eng
oneenv-adf,D_dbdemos_c360__churn_orders,oneenvstorageblob,,,DelimitedText,field-eng
oneenv-adf,S_dbdemos_c360__churn_orders,AjinkyaN_AzureDatabricksDeltaLake3,,churn_orders,AzureDatabricksDeltaLakeDataset,field-eng
adf-sash-demo,DelimitedText1,AzureDataLakeStorage1,,,DelimitedText,field-eng
adf-sash-demo,SampleDataset_src,AzureDataLakeStorage1,,,DelimitedText,field-eng
adf-sash-demo,AzureSqlTable2,AzureSqlDatabase1,db01,department,AzureSqlTable,field-eng
adf-sash-demo,DelimitedText2,AzureDataLakeStorage1,,,DelimitedText,field-eng
adf-sash-demo,AzureSqlTable1,AzureSqlDatabase1,db01,employee,AzureSqlTable,field-eng
adf-sash-demo,PipeWithRecordCntOutputDataset,AzureDataLakeStorage1,,,DelimitedText,field-eng
adf-sash-demo,swdataset,AzureBlobStoragesw,,,DelimitedText,field-eng
adf-fe-uae-01,ADLS_File01,AzureDataLakeStorage1,,,DelimitedText,field-eng
adf-fe-uae-01,UC_ADFTest01,AzureDatabricksDeltaLake1,,ADFTest01,AzureDatabricksDeltaLakeDataset,field-eng
adf-fe-uae-01,UC_ADFTest02,AzureDatabricksDeltaLake1,,ADFTest02,AzureDatabricksDeltaLakeDataset,field-eng
adf-fe-uae-01,ADLS_File02,AzureDataLakeStorage1,,,DelimitedText,field-eng
adf-fe-uae-01,AzureSql_Tab01,AzureSqlDatabase1,dbo,ADFDemo01,AzureSqlTable,field-eng
adf-runs,DestinationDataset_354,adventureworkslake,,,Parquet,azure-test-pm
adf-runs,SourceDataset_354,IsvTeamMySql,,"{'type': 'Expression', 'value': '@dataset().cw_tableName'}",AzureMySqlTable,azure-test-pm
adf-runs,people,SqlServer1,dbo,people,SqlServerTable,azure-test-pm
adf-runs,SalesforceObject1,Salesforce Dev,,,SalesforceObject,azure-test-pm
adf-runs,AccountsParquet,SalesforceADLS,,,Parquet,azure-test-pm
rayzhu-sf,SourceDataset_vgw,AzureBlobStorage1,,,DelimitedText,azure-test-pm
rayzhu-sf,DestinationDataset_vgw,AzureBlobStorage1,,,DelimitedText,azure-test-pm
rayzhu-sf,MetadataDrivenCopyTask_tdk_ControlDS,AzureSqlDatabase1,rayzhumetadatatable,MainControlTable_tdk,AzureSqlTable,azure-test-pm
rayzhu-sf,MetadataDrivenCopyTask_tdk_SourceDS,AzureDataLakeStorage2,,,DelimitedText,azure-test-pm
rayzhu-sf,MetadataDrivenCopyTask_tdk_DestinationDS,AzureDataLakeStorage2,,,DelimitedText,azure-test-pm
ronguerreroadf,adls_source_table,AzureDataLakeStorage1,,,Parquet,field-eng
ronguerreroadf,sqldb_source_table,AzureSqlDatabase1,dbo,source_table,AzureSqlTable,field-eng
DemoTelevisa,DestinationDataset_5ze,AzureDataLakeStorage1,,,DelimitedText,field-eng
DemoTelevisa,SourceDataset_5ze,AzureBlobStorage1,,,Json,field-eng
jok-adf,SourceDataset_zxz,AzureSqlDatabase1,dbo,localspectclass4_jokeeffe,AzureSqlTable,field-eng
jok-adf,DestinationDataset_zxz,AzureSynapseAnalytics1,dbo,localspectclass4_jokeeffe,AzureSqlDWTable,field-eng
jok-adf,Json2,ADLgen2,,,Json,field-eng
jok-adf,Json1,AzureDataLakeStore1,,,Json,field-eng
jok-adf,Parquet1,AzureBlobStorage1,,,Parquet,field-eng
jok-adf,Binary2,AzureBlobStorage1,,,Binary,field-eng
jok-adf,Json3,ADLgen2,,,Json,field-eng
jok-adf,Binary1,AzureBlobStorage1,,,Binary,field-eng
jok-adf,Json4,ADLgen2,,,Json,field-eng
jok-adf,CosmosDbSqlApiCollection1,CosmosDb1,,,CosmosDbSqlApiCollection,field-eng
jok-adf,telemetry,jokscratchsa1,,,Binary,field-eng
