factory_name,subscription_id,subscription_name,activity_type,count
ADF-kmati,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,2
ADF-kmati,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Delete,1
ADFLLMCOLLABRSA,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,6
ADFLLMCOLLABRSA,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SqlServerStoredProcedure,3
AzureGoFast,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,9
CSEdemoDataFactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,2
CSEdemoDataFactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,2
DemoTelevisa,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,1
Jay-CanadaLife,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
Jyo-1204-ADF-snowflake,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,1
Jyo-1204-ADF-snowflake,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ExecuteDataFlow,1
Jyo-1204-ADF-snowflake,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ForEach,4
Jyo-1204-ADF-snowflake,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Lookup,4
MapDFWF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,2
Test-Databricks-Workflows-RunNow,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,2
Test-Databricks-Workflows-RunNow,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,5
aamindatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
aamindatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Until,1
aamindatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,1
abdi-test-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,1
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,ExecuteDataFlow,1
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,ForEach,1
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,GetMetadata,1
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,IfCondition,1
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Lookup,1
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Validation,1
adf-alexs-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
adf-alexs-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,1
adf-csc168,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,1
adf-csc168,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,4
adf-demo-snehil,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,2
adf-demo-snehil,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ForEach,2
adf-demo-snehil,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,GetMetadata,1
adf-demo-snehil,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Lookup,1
adf-fe-uae-01,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,1
adf-fries-mohammad-khelghati-databricks-com,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ForEach,1
adf-fries-mohammad-khelghati-databricks-com,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,3
adf-jaspertesting-001,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,1
