pipeline_name,factory_name,factory_type,subscription_id,activity_name,activity_type,linked_service_name,compute_type_inferred,notebook_path,job_id,new_cluster_node_type,new_cluster_num_workers,new_cluster_version,existing_cluster_id,instance_pool_id,subscription_name
Using_ADF_UA_MI,ganeshrj-mi-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Using ADF UA MI,DatabricksNotebook,,unknown,,,,,,,,field-eng
Using_ADF_MI_COnnection,ganeshrj-mi-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
TEST_MI,ganeshrj-mi-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1,MapDFWF,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline2,MapDFWF,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
dim_premises,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,dim_premises,DatabricksNotebook,,unknown,,,,,,,,field-eng
dim_person,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,dim_person,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
dim_service_agreement,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,dim_service_agreement,DatabricksNotebook,,unknown,,,,,,,,field-eng
exception testing,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Exception Testing,DatabricksNotebook,,unknown,,,,,,,,field-eng
dim_service_point,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,dim_service_point,DatabricksNotebook,,unknown,,,,,,,,field-eng
dim_account,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,dim_account,DatabricksNotebook,,unknown,,,,,,,,field-eng
Dynamic Tagging of Job Cluster,mido-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Hello World Notebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
adf_test_jmr,jmradftest,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipelineJay,Jay-CanadaLife,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,NotebookJay,DatabricksNotebook,,unknown,,,,,,,,field-eng
Process Data with Databricks,aamindatafactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1,dleiva-df,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,DemoNotebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipe_rsm_shared_policy,cdg-rsm-tester,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,nb_tester,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipe_rsm_single_policy,cdg-rsm-tester,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,nb_tester,DatabricksNotebook,,unknown,,,,,,,,field-eng
stream-scoring-job,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,scoring,DatabricksNotebook,,unknown,,,,,,,,field-eng
demo_dot,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Load To Bronze,DatabricksNotebook,,unknown,,,,,,,,field-eng
office_hours_demo_pipeline,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Create Raw Delta,DatabricksNotebook,,unknown,,,,,,,,field-eng
