name,type,factory_name,factory_type,subscription_id,subscription_name,folder,source_count,sink_count,transformation_count,pipelines_using_it
dataflow2,MappingDataFlow,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
dataflow1,MappingDataFlow,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
dataflow2,MappingDataFlow,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
dataflow1,MappingDataFlow,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
dataflow2_copy1,MappingDataFlow,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
dataflow1,MappingDataFlow,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
CreateLookUpDelta,MappingDataFlow,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
DeltaFlow,MappingDataFlow,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
dataflow to Delta,MappingDataFlow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
dataflow1,MappingDataFlow,dthomfactorytest,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
dataflow1,MappingDataFlow,adf-kuldeep-demo01,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
dbx_scb_aj_df,MappingDataFlow,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
dataflow1,MappingDataFlow,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
Ingest Azure SQL to Delta,MappingDataFlow,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
dataflow4,MappingDataFlow,adf-sash-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
dataflow1,MappingDataFlow,adf-sash-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
dataflow4_copy1,MappingDataFlow,adf-sash-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
dataflow1,MappingDataFlow,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
spectraCSV2JSON,MappingDataFlow,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
DeltaSource,MappingDataFlow,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
REST_Test1,MappingDataFlow,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ADSGF,0,0,0,
DeltaSink,MappingDataFlow,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
AzureSQL2Delta,MappingDataFlow,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL,0,0,0,
deltaflow,MappingDataFlow,bnelsondatafactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,0,0,0,
df_transform_cases_deaths,MappingDataFlow,adf-adr,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,,0,0,0,
[CUJ] Test Dataflow,Dataflow,pmt_fabric_ws,Fabric,,,,0,0,0,
Dataflow 2,Dataflow,pmt_fabric_ws,Fabric,,,,0,0,0,
isaac_dfg2,Dataflow,oneenv,Fabric,,,,0,0,0,
get_uc_tables,Dataflow,oneenv,Fabric,,,,0,0,0,
jag-fabric-dataflow-gen2,Dataflow,oneenv,Fabric,,,,0,0,0,
Dataflow 16,Dataflow,oneenv,Fabric,,,,0,0,0,
isaac_dfg2_2,Dataflow,oneenv,Fabric,,,,0,0,0,
Dataflow Gen 2 - Atit Test,Dataflow,oneenv2,Fabric,,,,0,0,0,
Dataflow 17,Dataflow,oneenv,Fabric,,,,0,0,0,
AndresUrrutia_Dataflow,Dataflow,oneenv2,Fabric,,,,0,0,0,
Dataflow 1,Dataflow,oneenv2,Fabric,,,,0,0,0,
daveok_test,Dataflow,oneenv2,Fabric,,,,0,0,0,
