name,type,factory_name,factory_type,subscription_id,subscription_name,connect_via,description,datasets_using_it,pipelines_using_it
stuartadfsqldb,AzureSqlDatabase,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureKeyVault1,AzureKeyVault,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
stuartadlsg2,AzureBlobFS,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
stuartADFSQL,SqlServer,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
ADFADLS,AzureBlobFS,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
azure_stuart,AzureDatabricks,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks2,AzureDatabricks,MapDFWF,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,MapDFWF,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,ganeshrj-mi-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks_LS,AzureDatabricks,MapDFWF,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
azure_demo,AzureDatabricks,fe-shared-ssa-latam-adf-001,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricksDeltaLakeRjtTest,AzureDatabricksDeltaLake,testrepos,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
Carlos LATAM SSA,AzureDatabricks,fe-shared-ssa-latam-adf-001,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,fe-shared-ssa-latam-adf-001,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
SharedStorage,AzureBlobFS,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks_PH,AzureDatabricks,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
Latan Workspace 01,AzureDatabricks,fe-shared-ssa-latam-adf-001,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricksDeltaLake1,AzureDatabricksDeltaLake,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
pete_hdi_test_ws,AzureDatabricksDeltaLake,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,Non UC,0,0
peteh_hdi_ws_hive,AzureDatabricksDeltaLake,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
hdi_uc_test,AzureDatabricks,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureSqlDatabase1,AzureSqlDatabase,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
petehhdiuctest,AzureDatabricksDeltaLake,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
ph_hdi_test,AzureBlobFS,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricksDeltaLake1,AzureDatabricksDeltaLake,mido-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureSqlDatabase1,AzureSqlDatabase,mido-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
onvadls,AzureBlobFS,mido-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
onvstorage,AzureBlobStorage,mido-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
WebConnection1,Unknown,mido-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDataLakeStorage1,AzureBlobFS,mido-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks_Token,AzureDatabricks,ssc-adf-priv,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks_Token_MPE,AzureDatabricks,ssc-adf-priv,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
Dynamic Tag Cluster,AzureDatabricks,mido-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,A cluster that takes a parameter as a cluster tag.,0,0
AzureDatabricks2,AzureDatabricks,test-ow-job,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,test-ow-job,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
