pipeline_name,factory_name,factory_type,subscription_id,is_metadata_driven,confidence,signals_found,parameter_count,variable_count,has_foreach_executepipeline,has_parameterized_datasets,metadata_param_count,template_group_id,subscription_name
Using_ADF_UA_MI,ganeshrj-mi-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
Using_ADF_MI_COnnection,ganeshrj-mi-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
TEST_MI,ganeshrj-mi-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
pipeline1,MapDFWF,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
pipeline2,MapDFWF,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
Execute Databricks Job Retail Workspace,fe-shared-ssa-latam-adf-001,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,3,2,False,False,0,537961930653146962,field-eng
test,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,6588731230599605687,field-eng
dim_premises,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
dim_person,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
pipeline3,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,6588731230599605687,field-eng
pipeline1,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
dim_service_agreement,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
bordgais_parallel,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,5772740097886911935,field-eng
exception testing,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,1,False,False,0,-4997369083989698918,field-eng
pipeline2,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,2986451988485003859,field-eng
pipeline4,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,1,False,False,0,-2631841894733265129,field-eng
dim_service_point,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
dim_account,peteh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
Dynamic Tagging of Job Cluster,mido-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,1,0,False,False,0,-2241954787027104022,field-eng
Trigger Workflow,invoke-db-workflow-db-job-cluster,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,3,1,False,False,0,7582014479619549700,field-eng
Register Delta Lake Folder As External Table in Unity Catalog,mido-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,6267778854561202462,field-eng
Execution Pipeline,invoke-db-workflow-db-job-cluster,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-1458777991191879360,field-eng
Trigger DB Workflow,invoke-db-workflow-db-job-cluster,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,3,1,False,False,0,-4840318173885224883,field-eng
CopyPipeline_jnq,rkh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,2986451988485003859,field-eng
adf_test_jmr,jmradftest,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,1,0,False,False,0,-2241954787027104022,field-eng
pipelineJay,Jay-CanadaLife,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
pawarit-adf-example,pawarit,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,6267778854561202462,field-eng
pipeline1,abdi-test-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,1,0,False,False,0,-8753497827991233192,field-eng
foreach-dataflow_copy1,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,3,0,False,False,2,-2631841894733265129,field-eng
foreach-dataflow,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,3,0,False,False,2,-2631841894733265129,field-eng
pipeline1,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,2986451988485003859,field-eng
pipeline2,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,6588731230599605687,field-eng
foreach-copy_copy1,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,3,0,False,False,2,-2631841894733265129,field-eng
foreach-copy,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,3,0,False,False,2,-2631841894733265129,field-eng
sureshm_test1,fieldeng-migrations,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,2986451988485003859,field-eng
Run Now,aamindatafactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,3,1,False,False,0,-4840318173885224883,field-eng
Process Data with Databricks,aamindatafactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
pipeline1,nl-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,1506450934327738926,field-eng
pipeline1,dleiva-df,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
pipeline1,weather-pipeline-mglbe,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,2986451988485003859,field-eng
pipeline2,dleiva-df,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-8753497827991233192,field-eng
pipe_rsm_shared_policy,cdg-rsm-tester,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
pipe_rsm_single_policy,cdg-rsm-tester,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
