name,type,factory_name,factory_type,subscription_id,subscription_name,runtime_state,pipelines
File_arrival_trigger,BlobEventsTrigger,jl-adf-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
timer_trigger_1,ScheduleTrigger,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
trigger1,ScheduleTrigger,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
thhart-ocr-trigger,BlobEventsTrigger,thhart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
thhart-filter-pii-trigger,BlobEventsTrigger,thhart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
tr_daily_databricks_demo,ScheduleTrigger,durak-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
Trigger_5ze,ScheduleTrigger,DemoTelevisa,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
trigger1,TumblingWindowTrigger,odoren-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
Test A 1 Table,ScheduleTrigger,steven-psa-orchestration,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
triggerSPpipeline,ScheduleTrigger,ADFLLMCOLLABRSA,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
NewBlobTrigger,BlobEventsTrigger,CSEdemoDataFactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
trigger2,ScheduleTrigger,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
trigger1,ScheduleTrigger,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
trigger_60_mins,ScheduleTrigger,adf-sash-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
TelemZIParrived,BlobEventsTrigger,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
trigger1,ScheduleTrigger,bnelsondatafactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,[]
trigger1,ScheduleTrigger,competitive-factory,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,,[]
tr_ingest_population_data,BlobEventsTrigger,adf-adr,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,,[]
tr_ingest_ecdc_data,ScheduleTrigger,adf-adr,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,,[]
weekend,ScheduleTrigger,adf-tanishq,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,,[]
weekday,ScheduleTrigger,adf-tanishq,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,,[]
tableUpdate,BlobEventsTrigger,adf-tanishq,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,,[]
fileArrival,BlobEventsTrigger,adf-tanishq,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,,[]
EveryDayTrigger,ScheduleTrigger,adf-runs,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,,[]
